item_id|branch_id|external_item_id|item_image_id|sequence_nr|display_name_en|display_name_ar|item_description_en|item_description_ar|specific_price|currency_id|excluded_p|meta_status
15|7|bw_613273|55|15|bbq wings|BBQ Wings|6 pieces of smoked chicken tossed in a hickory barbecue sauce.|6 pieces of smoked chicken tossed in a hickory barbecue sauce.|29.00|1|0|active
16|7|bw_402311|56|16|brisket wrap|Brisket Wrap|seasoned smok'd brisket, lollo bionda lettuce, caramelized onion and our chipotle mayo sauce in a fresh tortilla.|Seasoned smok'd brisket, lollo bionda lettuce, caramelized onion and our chipotle mayo sauce in a fresh tortilla.|37.00|1|0|active
17|7|crw_332470|57|17|chicken ranch wrap|Chicken Ranch Wrap|seasoned smok'd chicken, lollo bionda lettuce, diced tomatoes, some dill pickles, grilled green pepper and our chipotle mayo sauce in a fresh tortilla.|Seasoned smok'd chicken, lollo bionda lettuce, diced tomatoes, some dill pickles, grilled green pepper and our chipotle mayo sauce in a fresh tortilla.|35.00|1|0|active
18|7|bcw_943054|58|18|beef chorizo wrap|Beef Chorizo Wrap|smok'd beef chorizo, light coleslaw, some red onion, a little dill pickles, cheddar and hickory sauce in a fresh tortilla.|Smok'd beef chorizo, light coleslaw, some red onion, a little dill pickles, cheddar and hickory sauce in a fresh tortilla.|35.00|1|0|active
19|7|tbp_976325|59|19|the brisket platter|The Brisket Platter|smok'd brisket slices, southern rice, fries, a potato bun and salad. comes with a creamy bbq sauce.|Smok'd brisket slices, southern rice, fries, a potato bun and salad. Comes with a creamy BBQ sauce.|66.00|1|0|active
20|7|fp_020059|60|20|full-house platter|Full-House Platter|smok'd brisket, chorizo and chicken breast, southern rice, fries, a potato bun and salad. comes with a creamy bbq sauce.|Smok'd brisket, chorizo and chicken breast, southern rice, fries, a potato bun and salad. Comes with a creamy BBQ sauce.|75.00|1|0|active
21|7|lbf_369858|61|21|legendary brisket feast|Legendary Brisket Feast|1kg smoked brisket on rice, served with 6 sides + 6 potato buns + 6 soft drinks + 6 house creamy bbq. serves 4 to 6. you can also order extra brisket.|1KG Smoked Brisket on rice, served with 6 sides + 6 potato buns + 6 soft drinks + 6 house creamy BBQ. Serves 4 to 6. You can also order extra brisket.|370.00|1|0|active
22|7|tf_933442|62|22|tmf fries|TMF Fries|comes with your choice of sauce.|Comes with your choice of sauce.|11.00|1|0|active
23|7|tor_956532|63|23|thick onion rings|Thick Onion Rings|comes with our house hickory sauce.|Comes with our house hickory sauce.|13.00|1|0|active
24|7|c_203315|64|24|coleslaw|Coleslaw|None||11.00|1|0|active
25|7|mnc_117232|65|25|mac 'n cheese|Mac 'n Cheese|None||12.00|1|0|active
26|7|ps_764502|66|26|potato salad|Potato Salad|None||11.00|1|0|active
27|7|tbs_367566|67|27|three beans salad|Three Beans Salad|None||12.00|1|0|active
28|7|lf_539698|68|28|loaded fries|Loaded Fries|fries and chilli con carne. house ranch on the side.|Fries and chilli con carne. House ranch on the side.|23.00|1|0|active
29|7|pb_048351|None|29|potato bun|Potato Bun| | |4.00|1|0|active
30|7|op_234814|None|30|onion pickles|Onion Pickles|None||4.00|1|0|active
31|7|dp_072628|None|31|dill pickles|Dill Pickles|None||4.00|1|0|active
32|7|k_108456|None|32|ketchup|Ketchup|None||4.00|1|0|active
33|7|m_364145|None|33|mayonnaise|Mayonnaise|None||4.00|1|0|active
34|7|cm_837144|None|34|chipotle mayo|Chipotle Mayo|None||4.00|1|0|active
35|7|hb_258894|None|35|hickory bbq|Hickory BBQ|None||5.00|1|0|active
36|7|mcb_639491|None|36|mf creamy bbq|MF Creamy BBQ|None||5.00|1|0|active
37|7|hr_514088|None|37|house ranch|House Ranch|None||5.00|1|0|active
38|7|hm_718783|None|38|house mustard|House Mustard|None||4.00|1|0|active
39|7|cc_145095|69|39|coca cola|Coca Cola|330 ml|330 ml|8.00|1|0|active
40|7|ccz_535235|70|40|coca cola zero|Coca Cola Zero|None||8.00|1|0|active
41|7|ccl_672398|71|41|coca cola light|Coca Cola Light|330 ml|330 ml|8.00|1|0|active
42|7|s_406394|72|42|sprite|Sprite|330 ml|330 ml|8.00|1|0|active
43|7|sz_346508|73|43|sprite zero|Sprite Zero|330 ml|330 ml|8.00|1|0|active
44|7|f_361727|74|44|fanta|Fanta|330 ml|330 ml|8.00|1|0|active
45|7|st_132856|75|45|schweppes tonic|Schweppes Tonic|None||10.00|1|0|active
46|7|ss_276636|76|46|schweppes soda|Schweppes Soda|None||10.00|1|0|active
47|7|aw_449464|77|47|arwa water|Arwa Water|500 ml|500 ml|8.00|1|0|active
48|7|sbl_534033|78|48|schweppes bitter lemon|Schweppes Bitter Lemon|None||10.00|1|0|active
49|7|aasw_998128|79|49|al ain sparkling water|Al Ain Sparkling Water| | |15.00|1|0|active
50|7|wsw_797403|80|50|waterfalls sparkling water|Waterfalls Sparkling Water| | |15.00|1|0|active
